Sample	Assemblies	Reads1	Reads2
Wuhan/IPBCAMS-WH-04/2019	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation/evaluations/sars-cov-2/input/split/Wuhan__IPBCAMS-WH-04__2019.fasta.gz		
CHN/Wuhan_IME-WH05/2019	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation/evaluations/sars-cov-2/input/split/CHN__Wuhan_IME-WH05__2019.fasta.gz		
FR993751	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation/evaluations/sars-cov-2/input/split/FR993751.fasta.gz		
Switzerland/100080/2020	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation/evaluations/sars-cov-2/input/split/Switzerland__100080__2020.fasta.gz		
Switzerland/100076/2020	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation/evaluations/sars-cov-2/input/split/Switzerland__100076__2020.fasta.gz		
Switzerland/100083/2020	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation/evaluations/sars-cov-2/input/split/Switzerland__100083__2020.fasta.gz		
Switzerland/100098/2020	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation/evaluations/sars-cov-2/input/split/Switzerland__100098__2020.fasta.gz		
Switzerland/100092/2020	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation/evaluations/sars-cov-2/input/split/Switzerland__100092__2020.fasta.gz		
Switzerland/100108/2020	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation/evaluations/sars-cov-2/input/split/Switzerland__100108__2020.fasta.gz		
Switzerland/100124/2020	/home/CSCScience.ca/apetkau/workspace/genomics-data-index-evaluation/evaluations/sars-cov-2/input/split/Switzerland__100124__2020.fasta.gz		
